brand,model,year,fuel,transmission,km_driven,owner_count,engine_cc,price
Mercedes,C Class,2013,Electric,Manual,8873,2,1500,25724.38
Mercedes,GLE,2011,Diesel,Manual,19215,2,1000,25446.48
Porsche,Cayenne,2017,Hybrid,Manual,12084,3,4000,54064.4
Mercedes,GLE,2020,Petrol,Manual,24304,2,3000,33218.4
Bugatti,Chiron,2018,Diesel,Manual,93623,2,3000,1922778.2
Porsche,Panamera,2019,Petrol,Automatic,17667,0,3000,73583.16
BMW,5 Series,2019,Diesel,Automatic,1337,0,4000,37247.22
Audi,Q7,2019,Diesel,Automatic,50975,2,3000,27914.79
BMW,X5,2014,Petrol,Manual,19146,1,3000,27823.75
Audi,A6,2007,Petrol,Manual,5317,0,4000,20775.44
Audi,Q7,2018,Hybrid,Manual,16625,2,4000,28096.23
Mercedes,C Class,2015,Petrol,Automatic,7374,2,1000,24301.69
Mercedes,E Class,2011,Petrol,Manual,90474,1,1000,15622.9
Porsche,Cayenne,2015,Electric,Automatic,26074,3,3000,56098.11
Audi,A6,2011,Electric,Automatic,26983,3,1500,18428.52
BMW,3 Series,2005,Petrol,Automatic,7033,1,1500,16341.97
Tesla,Model Y,2017,Electric,Manual,41567,1,1500,49236.91
Tesla,Model S,2022,Diesel,Manual,23818,1,1500,68144.88
Tesla,Model S,2013,Petrol,Automatic,39678,0,1000,42712.6
BMW,3 Series,2017,Electric,Manual,5291,0,2000,31556.65
BMW,3 Series,2016,Petrol,Automatic,14936,2,1000,22812.32
Tesla,Model Y,2007,Hybrid,Manual,12089,3,4000,19555.4
Porsche,Panamera,2020,Diesel,Manual,43780,3,2000,73386.18
Mercedes,E Class,2021,Petrol,Automatic,11974,0,1500,42126.82
Bugatti,Chiron,2018,Petrol,Manual,4376,3,1000,1690224.69
Audi,A6,2016,Petrol,Automatic,11650,2,1000,22294.41
Porsche,Cayenne,2021,Electric,Manual,33495,1,2000,79200.68
Audi,Q7,2013,Electric,Automatic,6842,2,1000,19940.25
Audi,A6,2008,Petrol,Automatic,5852,1,1000,17553.95
Audi,Q7,2021,Electric,Manual,6147,3,1000,33033.61
Mercedes,E Class,2015,Electric,Manual,23077,0,3000,30741.65
Tesla,Model 3,2021,Electric,Manual,34874,0,4000,65948.36
Mercedes,GLE,2014,Diesel,Manual,12489,2,1000,22634.51
Bugatti,Chiron,2011,Petrol,Automatic,3081,1,3000,1457891.64
Porsche,911,2011,Electric,Automatic,14190,1,3000,46832.85
Mercedes,E Class,2013,Diesel,Automatic,16876,0,4000,24799.88
BMW,X5,2015,Hybrid,Automatic,57362,0,4000,28328.15
Mercedes,C Class,2019,Hybrid,Automatic,55552,1,2000,31825.78
Bugatti,Chiron,2014,Petrol,Manual,21283,0,3000,1775635.31
Mercedes,GLE,2005,Electric,Manual,59278,3,2000,9213.59
Audi,A6,2006,Electric,Manual,36028,1,1500,16889.03
Porsche,Panamera,2007,Hybrid,Automatic,3287,1,4000,43349.22
Porsche,Cayenne,2007,Diesel,Manual,4482,3,4000,32717.72
Mercedes,C Class,2010,Diesel,Automatic,35662,1,2000,22661.68
BMW,X5,2017,Petrol,Automatic,21788,3,2000,26010.3
BMW,3 Series,2007,Hybrid,Automatic,48661,2,1500,18015.16
Audi,A6,2022,Electric,Automatic,26154,2,3000,32951.74
Bugatti,Chiron,2020,Electric,Automatic,27633,1,1000,2040127.85
Porsche,911,2013,Diesel,Automatic,7719,0,4000,50353.38
Audi,A4,2017,Hybrid,Manual,81576,3,3000,24340.95
Mercedes,C Class,2008,Electric,Manual,49411,2,1500,18336.36
Bugatti,Chiron,2014,Electric,Manual,44146,3,1500,1451395.45
Tesla,Model X,2018,Electric,Automatic,10314,3,1000,46771.96
BMW,X5,2006,Diesel,Manual,65802,3,1500,13664.71
Porsche,Cayenne,2006,Petrol,Manual,19092,1,3000,33903.32
Mercedes,C Class,2012,Diesel,Automatic,9501,3,2000,16014.26
Bugatti,Chiron,2020,Petrol,Automatic,40118,1,1000,2212491.8
Tesla,Model X,2018,Hybrid,Manual,6029,1,3000,51086.86
Audi,A6,2022,Electric,Manual,6774,0,3000,36131.37
Porsche,Cayenne,2013,Hybrid,Automatic,37750,3,2000,37992.67
Bugatti,Chiron,2021,Petrol,Automatic,11530,2,1500,2439901.38
Porsche,Panamera,2018,Diesel,Automatic,37577,2,3000,56440.82
Tesla,Model 3,2016,Petrol,Manual,49562,3,3000,46016.15
Tesla,Model Y,2010,Hybrid,Automatic,2953,3,3000,28242.22
Bugatti,Chiron,2007,Diesel,Manual,12914,0,1000,1119319.58
Audi,Q7,2005,Electric,Manual,14725,2,4000,11179.64
Mercedes,GLE,2017,Petrol,Automatic,11519,2,2000,26871.62
Porsche,Panamera,2016,Diesel,Manual,34821,0,3000,57587.55
Bugatti,Chiron,2009,Hybrid,Manual,4587,3,1500,1116643.31
BMW,X5,2015,Hybrid,Automatic,40403,0,2000,32275.59
Tesla,Model Y,2009,Hybrid,Manual,54940,3,2000,34931.2
Audi,Q7,2020,Diesel,Automatic,22206,0,4000,33999.88
Tesla,Model 3,2016,Electric,Automatic,39729,3,1500,43263.49
Porsche,911,2009,Electric,Manual,20479,3,3000,32170.24
Tesla,Model X,2015,Hybrid,Manual,20642,3,4000,34329.71
BMW,X5,2008,Diesel,Manual,7172,1,2000,22993.41
Porsche,911,2010,Diesel,Manual,49659,3,2000,37955.68
Porsche,911,2007,Petrol,Manual,7858,3,3000,32535.95
BMW,3 Series,2011,Electric,Automatic,1000,3,3000,19444.09
Porsche,Panamera,2007,Diesel,Automatic,82616,1,4000,35654.31
BMW,X5,2012,Hybrid,Automatic,38002,3,1500,20968.05
Mercedes,E Class,2012,Diesel,Manual,6150,2,2000,18456.7
Bugatti,Chiron,2009,Diesel,Automatic,1000,0,1500,1034949.51
Mercedes,E Class,2012,Hybrid,Automatic,11545,3,2000,16638.7
Bugatti,Chiron,2007,Diesel,Manual,4547,2,2000,1120627.59
Porsche,911,2006,Electric,Automatic,1068,0,2000,46337.76
Mercedes,GLE,2005,Electric,Automatic,15849,1,1000,10789.37
Bugatti,Chiron,2013,Electric,Manual,4703,1,1500,1636640.91
Bugatti,Chiron,2016,Electric,Automatic,40592,0,1000,1607236.75
Bugatti,Chiron,2021,Electric,Automatic,11956,0,4000,1947280.59
Mercedes,GLE,2022,Petrol,Manual,12672,2,3000,40068.57
Tesla,Model Y,2007,Electric,Manual,154712,2,1000,33136.35
BMW,5 Series,2020,Diesel,Automatic,4103,2,1500,31051.4
Porsche,911,2006,Electric,Automatic,38562,1,3000,34692.42
Porsche,Panamera,2013,Diesel,Manual,1000,3,1000,46763.64
Audi,Q7,2017,Hybrid,Automatic,32569,1,3000,27462.32
Tesla,Model 3,2015,Diesel,Automatic,12413,2,1500,43464.23
Tesla,Model S,2009,Electric,Automatic,10659,1,3000,33699.86
Mercedes,C Class,2018,Diesel,Manual,67159,3,3000,25304.54
Bugatti,Chiron,2017,Diesel,Automatic,22313,0,3000,1963371.95
Bugatti,Chiron,2018,Petrol,Automatic,3817,2,1500,2043463.2
Bugatti,Chiron,2014,Electric,Manual,3483,1,3000,1501805.34
Tesla,Model Y,2021,Hybrid,Manual,15534,3,1000,52202.71
Mercedes,E Class,2007,Petrol,Manual,103604,2,1000,10912.99
Audi,A4,2008,Electric,Automatic,53854,0,2000,15825.02
Bugatti,Chiron,2008,Petrol,Manual,82533,1,4000,1122336.96
Mercedes,C Class,2018,Hybrid,Automatic,14899,3,1500,30918.85
Mercedes,E Class,2012,Electric,Automatic,26569,2,3000,21540.45
Audi,Q7,2006,Petrol,Manual,5738,0,2000,16255.18
Bugatti,Chiron,2007,Petrol,Automatic,1771,3,4000,1031682.5
Porsche,911,2011,Petrol,Manual,41207,0,3000,46442.94
Tesla,Model S,2012,Petrol,Manual,10521,2,1500,30400.04
BMW,X5,2015,Hybrid,Manual,23176,2,1500,23530.9
Porsche,Panamera,2018,Electric,Manual,4729,1,2000,70555.67
Audi,A4,2009,Hybrid,Manual,32541,1,2000,17111.97
BMW,X5,2010,Electric,Automatic,14921,0,2000,25119.47
Porsche,Cayenne,2014,Diesel,Automatic,24372,0,3000,56063.52
Porsche,911,2012,Electric,Automatic,8944,0,4000,54302.29
Mercedes,GLE,2018,Diesel,Automatic,52569,1,4000,31481.95
Porsche,911,2018,Petrol,Manual,19572,0,1500,70899.96
Bugatti,Chiron,2012,Petrol,Manual,20142,2,1000,1306749.04
Mercedes,C Class,2019,Petrol,Automatic,115545,2,2000,30539.53
Tesla,Model S,2021,Diesel,Manual,135569,2,3000,57396.56
Audi,A4,2013,Petrol,Automatic,25287,1,2000,20643.45
Audi,A6,2015,Diesel,Manual,55052,2,4000,22209.36
Porsche,911,2016,Petrol,Manual,73994,3,4000,60484.09
BMW,5 Series,2011,Electric,Automatic,102513,0,1500,25694.58
Audi,A4,2017,Hybrid,Automatic,15642,3,4000,23326.98
Tesla,Model Y,2006,Diesel,Automatic,38868,0,1000,31203.74
BMW,3 Series,2018,Hybrid,Manual,5996,0,3000,34418.75
Mercedes,E Class,2022,Hybrid,Manual,13568,2,4000,39749.68
Mercedes,E Class,2022,Diesel,Automatic,6337,2,3000,36529.98
Bugatti,Chiron,2015,Electric,Automatic,2494,3,4000,1648422.99
Audi,A4,2016,Petrol,Manual,16278,3,1500,19869.07
BMW,3 Series,2014,Hybrid,Manual,67891,2,1000,24320.88
Tesla,Model Y,2015,Hybrid,Automatic,24355,2,1000,41800.24
Tesla,Model X,2009,Petrol,Manual,96925,2,1500,21878.22
BMW,X5,2019,Hybrid,Manual,13555,3,1000,30338.51
Audi,Q7,2014,Diesel,Manual,1507,3,4000,19803.29
Audi,A4,2014,Diesel,Manual,53797,3,2000,14620.27
Bugatti,Chiron,2005,Electric,Manual,24748,2,2000,1004171.85
Bugatti,Chiron,2005,Electric,Manual,12918,3,3000,925291.8
BMW,X5,2015,Hybrid,Automatic,114182,3,1000,25210.78
BMW,X5,2005,Diesel,Automatic,29265,0,1500,17422.39
Porsche,Panamera,2020,Diesel,Automatic,10530,0,4000,77452.9
BMW,X5,2022,Petrol,Automatic,7776,0,3000,45214.34
BMW,3 Series,2021,Electric,Manual,5742,1,4000,38338.19
Tesla,Model 3,2007,Electric,Automatic,29325,3,1000,20609.3
Tesla,Model Y,2022,Electric,Manual,2265,1,1500,66650.29
Bugatti,Chiron,2011,Electric,Automatic,4914,0,1500,1529754.15
Mercedes,C Class,2022,Electric,Manual,11642,3,1500,39478.06
Porsche,Cayenne,2006,Hybrid,Manual,49055,2,2000,25473.58
Tesla,Model S,2006,Diesel,Automatic,18673,1,1500,26246.07
Porsche,Cayenne,2022,Petrol,Manual,165056,2,2000,72968.17
BMW,3 Series,2011,Petrol,Manual,41941,0,1000,22074.49
Tesla,Model 3,2013,Hybrid,Automatic,9268,3,4000,28149.32
Mercedes,E Class,2011,Hybrid,Automatic,61914,1,3000,15643.06
Bugatti,Chiron,2022,Hybrid,Automatic,68194,1,3000,2210625.5
BMW,X5,2011,Hybrid,Automatic,63391,0,1500,20567.74
Porsche,911,2006,Petrol,Automatic,56733,0,2000,44470.49
Bugatti,Chiron,2011,Petrol,Automatic,65223,3,2000,1260161.62
BMW,5 Series,2015,Diesel,Manual,135571,1,2000,23074.13
Audi,A4,2021,Diesel,Manual,16188,3,4000,31469.39
BMW,3 Series,2012,Petrol,Automatic,70791,3,2000,16648.56
Audi,Q7,2012,Petrol,Automatic,20718,3,1000,18139.6
Audi,Q7,2014,Hybrid,Automatic,11515,2,1500,19476.31
BMW,5 Series,2018,Diesel,Automatic,25809,1,1000,31168.57
Mercedes,E Class,2018,Diesel,Manual,32984,1,2000,30949.39
Audi,Q7,2015,Diesel,Automatic,15492,2,4000,21176.22
Tesla,Model Y,2010,Electric,Automatic,33255,0,1500,33455.66
Porsche,911,2022,Hybrid,Automatic,29219,3,2000,80801.45
Mercedes,E Class,2005,Electric,Automatic,21286,3,1500,11526.75
Tesla,Model 3,2010,Diesel,Automatic,6679,0,2000,38729.14
Tesla,Model 3,2018,Hybrid,Automatic,8846,3,2000,49127.06
Porsche,Cayenne,2016,Electric,Automatic,24045,1,1500,60574.5
Porsche,911,2005,Diesel,Automatic,6184,0,1000,35163.0
Tesla,Model Y,2007,Diesel,Automatic,1158,1,2000,29702.0
Mercedes,GLE,2012,Petrol,Automatic,3511,2,2000,22722.18
Tesla,Model 3,2020,Electric,Automatic,36826,2,4000,51091.95
Audi,Q7,2022,Hybrid,Manual,5731,2,3000,31030.0
Audi,A4,2007,Diesel,Automatic,40357,1,2000,16857.01
Bugatti,Chiron,2019,Hybrid,Manual,72924,3,3000,2072155.1
Audi,Q7,2019,Diesel,Manual,5527,1,4000,31842.73
BMW,X5,2006,Petrol,Automatic,19107,3,1000,11436.71
Mercedes,E Class,2016,Hybrid,Manual,17501,1,3000,26153.13
Mercedes,C Class,2010,Hybrid,Automatic,9427,3,1000,16117.02
BMW,X5,2022,Diesel,Automatic,5739,3,1000,38387.98
Mercedes,GLE,2022,Hybrid,Automatic,49276,3,1500,35003.83
Bugatti,Chiron,2021,Electric,Automatic,9576,1,3000,2263668.66
Audi,A4,2006,Hybrid,Manual,8435,3,1000,12755.1
Porsche,Cayenne,2016,Hybrid,Manual,2415,2,1000,46602.39
Mercedes,C Class,2015,Diesel,Manual,30464,2,1500,26182.96
Porsche,Cayenne,2017,Electric,Manual,7299,2,1000,59500.3
Audi,A6,2012,Electric,Automatic,7378,0,4000,24509.13
Tesla,Model X,2015,Petrol,Manual,49175,0,2000,48187.42
Audi,Q7,2007,Petrol,Automatic,53672,3,1500,13600.05
Porsche,911,2018,Diesel,Automatic,19760,2,4000,60917.61
Audi,Q7,2021,Electric,Manual,10386,1,4000,37211.22
Tesla,Model 3,2006,Diesel,Automatic,21151,0,2000,30422.67
Audi,Q7,2008,Electric,Manual,240931,3,3000,6684.52
BMW,5 Series,2014,Diesel,Automatic,46347,3,1500,20777.98
Mercedes,C Class,2021,Diesel,Manual,21406,2,2000,35482.82
Porsche,Cayenne,2021,Diesel,Manual,56652,1,4000,80779.92
Audi,A6,2005,Petrol,Manual,1506,3,1000,11956.76
BMW,5 Series,2021,Diesel,Manual,68966,0,3000,39648.75
Tesla,Model 3,2008,Electric,Automatic,59107,0,4000,31033.36
BMW,3 Series,2021,Electric,Automatic,1646,3,1000,34075.54
Bugatti,Chiron,2015,Petrol,Manual,4579,3,4000,1495295.96
Tesla,Model Y,2009,Diesel,Automatic,30499,0,3000,28282.02
Mercedes,GLE,2015,Electric,Automatic,12520,3,2000,25324.63
Mercedes,E Class,2010,Electric,Manual,1000,1,1000,21838.43
Tesla,Model Y,2022,Electric,Manual,4353,1,4000,69562.24
BMW,X5,2015,Electric,Automatic,27704,3,1000,22270.88
Bugatti,Chiron,2009,Electric,Automatic,1140,2,1500,1336172.37
Audi,A4,2011,Petrol,Automatic,29149,2,3000,16052.7
Audi,A6,2006,Petrol,Automatic,114356,1,2000,16482.63
Tesla,Model X,2012,Petrol,Manual,79516,3,1500,35398.64
BMW,X5,2011,Electric,Automatic,2130,2,1500,18750.95
Audi,A4,2016,Diesel,Automatic,118097,3,1500,21008.79
Bugatti,Chiron,2011,Hybrid,Automatic,85739,3,2000,1385225.57
Tesla,Model S,2012,Diesel,Manual,77209,2,1000,30640.56
BMW,3 Series,2013,Electric,Manual,85215,0,1500,26883.75
Porsche,Panamera,2017,Electric,Manual,24711,2,1000,59962.42
Porsche,Cayenne,2016,Diesel,Automatic,2044,3,1500,47151.4
Tesla,Model Y,2019,Electric,Automatic,23232,2,2000,54073.94
Audi,A6,2012,Hybrid,Automatic,77231,1,2000,21288.84
BMW,5 Series,2015,Petrol,Automatic,6218,2,1500,26260.83
BMW,3 Series,2014,Hybrid,Manual,7779,1,4000,26212.25
Tesla,Model 3,2019,Petrol,Automatic,30600,3,4000,50762.14
Tesla,Model X,2022,Electric,Manual,7807,3,3000,62846.24
Tesla,Model S,2005,Hybrid,Automatic,30857,2,1000,27521.03
BMW,3 Series,2009,Hybrid,Manual,68003,3,4000,15283.01
Bugatti,Chiron,2017,Hybrid,Automatic,1092,1,2000,1733621.42
Audi,Q7,2010,Hybrid,Automatic,1169,1,3000,18825.91
Porsche,Cayenne,2020,Electric,Manual,61462,1,3000,84887.42
Porsche,Cayenne,2014,Hybrid,Automatic,30993,2,3000,54319.52
Bugatti,Chiron,2018,Hybrid,Manual,58674,2,1000,1881030.64
Mercedes,E Class,2017,Diesel,Manual,2561,1,1500,31534.5
BMW,3 Series,2021,Diesel,Manual,3675,1,2000,36806.67
Bugatti,Chiron,2019,Diesel,Manual,17313,1,4000,2168033.56
Audi,A4,2010,Hybrid,Manual,76324,1,2000,17189.33
Audi,A4,2020,Diesel,Automatic,1057,1,2000,35087.4
Bugatti,Chiron,2010,Electric,Automatic,33916,3,1500,1486283.11
Bugatti,Chiron,2021,Petrol,Manual,9975,3,1500,2047635.8
BMW,X5,2014,Diesel,Automatic,12254,2,4000,24200.74
Mercedes,C Class,2015,Hybrid,Automatic,115940,1,1000,23592.1
Tesla,Model S,2015,Electric,Automatic,7679,1,1000,43136.44
Tesla,Model Y,2007,Electric,Automatic,37290,1,1500,25077.27
Tesla,Model Y,2007,Petrol,Manual,32720,3,1000,24709.79
Mercedes,C Class,2021,Electric,Manual,4758,2,4000,36478.75
BMW,5 Series,2010,Electric,Automatic,9041,3,3000,17175.73
Porsche,Panamera,2013,Electric,Manual,32398,2,3000,50541.2
Mercedes,GLE,2012,Hybrid,Manual,2094,3,1500,19848.16
Mercedes,C Class,2011,Hybrid,Manual,32454,0,3000,26684.15
Tesla,Model Y,2018,Petrol,Manual,4292,1,2000,50695.85
Tesla,Model S,2017,Petrol,Manual,39507,0,1500,45457.13
Bugatti,Chiron,2007,Diesel,Automatic,41559,1,3000,1153158.91
Porsche,911,2019,Hybrid,Automatic,1402,2,3000,77531.88
Tesla,Model X,2015,Hybrid,Manual,23044,3,1500,33333.58
Audi,Q7,2005,Electric,Automatic,90175,3,3000,6850.64
Mercedes,E Class,2016,Hybrid,Automatic,5703,2,2000,28974.38
Mercedes,C Class,2020,Petrol,Manual,27641,1,4000,34410.36
Mercedes,C Class,2016,Diesel,Manual,21232,1,4000,26658.42
Tesla,Model Y,2009,Electric,Manual,28496,1,1500,39134.76
Porsche,Panamera,2019,Hybrid,Manual,31058,0,4000,75899.39
Mercedes,C Class,2022,Petrol,Automatic,7985,0,2000,41210.72
BMW,X5,2015,Petrol,Automatic,8703,3,1000,26041.7
BMW,3 Series,2015,Hybrid,Manual,99975,0,1000,26904.52
Audi,Q7,2016,Electric,Manual,1000,0,1500,24850.18
Porsche,Cayenne,2016,Diesel,Automatic,30631,2,4000,63387.04
Porsche,911,2012,Petrol,Manual,21788,3,1500,52209.62
Audi,Q7,2012,Electric,Automatic,65724,2,4000,15495.34
Tesla,Model S,2010,Petrol,Automatic,79767,0,4000,30830.94
Bugatti,Chiron,2007,Hybrid,Manual,100867,3,1000,945296.58
Bugatti,Chiron,2012,Electric,Automatic,13434,1,3000,1246723.12
Bugatti,Chiron,2007,Electric,Automatic,22850,3,3000,1097046.91
Audi,A6,2008,Petrol,Manual,11211,0,1000,20025.88
Bugatti,Chiron,2017,Petrol,Automatic,12217,0,3000,1872503.53
Bugatti,Chiron,2010,Diesel,Automatic,50823,3,1500,1296139.98
Bugatti,Chiron,2008,Electric,Manual,6441,3,4000,906589.27
Audi,A6,2006,Hybrid,Manual,15989,3,3000,9958.03
BMW,X5,2016,Electric,Manual,8945,1,1000,33992.49
Audi,A6,2020,Diesel,Manual,2515,0,1500,32507.98
BMW,X5,2012,Hybrid,Manual,27664,2,3000,24156.24
Tesla,Model 3,2018,Petrol,Automatic,27830,3,4000,48846.46
Tesla,Model Y,2019,Hybrid,Manual,45029,3,1500,58029.15
Porsche,911,2014,Hybrid,Manual,18949,0,3000,50236.71
BMW,X5,2012,Diesel,Automatic,31860,2,1000,18963.36
Porsche,Cayenne,2019,Electric,Manual,14380,3,1500,69945.06
Porsche,Panamera,2010,Petrol,Manual,15438,1,2000,51802.87
BMW,3 Series,2012,Petrol,Manual,15370,2,2000,23208.58
Tesla,Model 3,2006,Petrol,Manual,13831,1,2000,24581.0
BMW,X5,2007,Petrol,Manual,101797,2,1000,16277.88
Mercedes,C Class,2017,Hybrid,Automatic,24302,0,2000,29724.37
Audi,A4,2008,Petrol,Automatic,5368,3,1000,12358.37
Bugatti,Chiron,2012,Electric,Manual,5148,3,2000,1594732.02
Bugatti,Chiron,2020,Petrol,Automatic,32916,2,4000,1962562.09
Audi,A4,2005,Electric,Automatic,38913,1,1000,12803.42
Tesla,Model S,2013,Diesel,Automatic,17857,0,1500,45414.07
Tesla,Model Y,2020,Hybrid,Automatic,78516,1,4000,61393.71
BMW,3 Series,2012,Diesel,Manual,29935,3,2000,19563.5
BMW,X5,2005,Diesel,Manual,79228,2,1000,11017.19
Bugatti,Chiron,2018,Diesel,Automatic,50957,3,2000,2039258.1
Porsche,911,2019,Hybrid,Automatic,15339,1,1500,69319.97
Tesla,Model S,2016,Electric,Automatic,48843,1,3000,50578.63
Tesla,Model 3,2010,Electric,Manual,4973,2,3000,25354.99
Bugatti,Chiron,2006,Hybrid,Automatic,9800,3,2000,823380.01
Bugatti,Chiron,2011,Hybrid,Automatic,1000,2,4000,1312727.16
Tesla,Model Y,2019,Electric,Automatic,19189,0,1000,56500.88
Tesla,Model 3,2017,Electric,Automatic,2670,1,1000,50309.96
Bugatti,Chiron,2017,Hybrid,Manual,60224,3,3000,1763898.46
Bugatti,Chiron,2005,Petrol,Manual,35026,0,1000,821177.26
Tesla,Model Y,2021,Electric,Automatic,5915,3,2000,56440.32
Tesla,Model X,2008,Diesel,Manual,48620,2,3000,26405.76
Porsche,Panamera,2018,Electric,Automatic,52915,2,2000,61036.93
Mercedes,E Class,2021,Electric,Automatic,32186,1,2000,35184.96
Audi,Q7,2011,Hybrid,Automatic,74421,3,4000,13520.98
Tesla,Model X,2012,Petrol,Automatic,27153,3,4000,33313.87
Audi,A4,2010,Electric,Automatic,24303,3,2000,15486.52
Tesla,Model S,2019,Petrol,Manual,21450,2,1000,54040.37
Porsche,Cayenne,2009,Hybrid,Automatic,5219,0,1000,37956.33
Bugatti,Chiron,2022,Petrol,Automatic,5249,3,4000,2210321.29
Mercedes,E Class,2021,Electric,Automatic,49504,0,4000,39725.63
Porsche,Panamera,2021,Petrol,Manual,30212,0,3000,76704.18
Porsche,Cayenne,2005,Hybrid,Manual,43781,1,1000,34901.58
